step,timestamp,metric,value
0,1748618234.3693807,Player/Lives,3
0,1748618234.3714783,Player/Score,1500
0,1748618234.3714783,Player/Current_HP,2
0,1748618234.3714783,Player/HP_Ratio,0.6666666666666666
