step,timestamp,metric,value
0,1748618113.2439668,Player/Lives,3
0,1748618113.2439668,Player/Score,1500
0,1748618113.2439668,Player/Current_HP,2
0,1748618113.2439668,Player/HP_Ratio,0.6666666666666666
